Date,BID,VCB,CTG,MBB,ACB,STB
12/31/2019,"35,916","69,267","15,583","11,063","11,225","10,050"
12/30/2019,"35,878","69,881","15,695","11,142","11,175","10,100"
12/27/2019,"35,955","69,497","15,397","11,116","11,175","10,150"
12/26/2019,"34,399","68,653","15,359","11,089","11,126","10,100"
12/25/2019,"35,177","69,037","15,359","11,169","11,274","10,100"
12/24/2019,"34,944","69,114","15,359","11,036","11,175","10,100"
12/23/2019,"34,827","69,805","15,322","11,196","11,225","10,200"
12/20/2019,"33,270","67,808","15,173","11,169","11,175","10,000"
12/19/2019,"32,842","67,578","15,024","11,009","11,077","9,930"
12/18/2019,"32,687","66,579","15,024","11,169","11,077","9,940"
12/17/2019,"32,259","65,504","15,098","11,196","11,225","10,050"
12/16/2019,"32,609","66,042","15,136","11,382","11,323","10,050"
12/13/2019,"32,609","67,885","15,359","11,595","11,422","10,050"
12/12/2019,"31,908","67,194","15,024","11,595","11,323","10,100"
12/11/2019,"31,208","65,965","14,800","11,595","11,274","10,050"
12/10/2019,"31,052","65,581","14,949","11,222","11,225","10,050"
12/9/2019,"31,130","65,427","15,024","11,408","11,274","9,950"
12/6/2019,"30,858","65,197","15,136","11,621","11,323","10,000"
12/5/2019,"31,130","65,120","14,986","11,621","11,323","10,050"
12/4/2019,"31,403","65,043","15,247","11,807","11,372","10,100"
12/3/2019,"30,897","62,970","14,614","11,462","11,126","9,750"
12/2/2019,"30,663","64,122","14,763","11,382","11,126","10,000"
11/29/2019,"31,519","65,504","15,247","11,781","11,372","10,100"
11/28/2019,"31,636","65,504","15,247","11,754","11,274","10,100"
11/27/2019,"31,753","66,272","15,695","12,020","11,422","10,100"
11/26/2019,"31,130","65,043","15,807","12,047","11,619","10,150"
11/25/2019,"30,897","64,890","15,769","11,914","11,520","10,150"
11/22/2019,"31,286","65,658","15,732","11,887","11,422","10,250"
11/21/2019,"32,064","67,194","15,881","11,914","11,815","10,200"
11/20/2019,"32,336","68,730","15,881","12,020","11,766","10,400"
11/19/2019,"32,414","69,881","16,030","12,100","11,914","10,600"
11/18/2019,"32,142","67,270","15,956","12,020","11,865","10,600"
11/15/2019,"32,687","68,883","16,179","12,100","12,012","10,700"
11/14/2019,"33,076","69,805","16,105","12,206","12,062","10,700"
11/13/2019,"33,387","69,497","16,291","12,366","12,308","10,800"
11/12/2019,"32,764","70,419","16,403","12,392","12,160","10,750"
11/11/2019,"32,142","70,112","16,366","12,472","12,160","10,800"
11/8/2019,"32,142","70,265","16,627","12,445","12,209","10,850"
11/7/2019,"32,375","70,112","16,589","12,499","12,111","10,900"
11/6/2019,"32,298","69,881","16,627","12,525","12,111","11,000"
11/5/2019,"32,527","69,728","16,701","12,366","12,111","10,950"
11/4/2019,"32,298","70,649","16,739","12,392","12,111","10,900"
11/1/2019,"31,379","68,192","16,627","12,206","11,914","10,900"
10/31/2019,"31,073","67,347","16,403","12,233","11,865","10,800"
10/30/2019,"30,767","67,424","16,515","12,259","11,963","10,700"
10/29/2019,"31,073","66,349","16,440","12,153","11,668","10,650"
10/28/2019,"31,073","67,117","16,403","12,233","11,668","10,850"
10/25/2019,"30,767","67,578","16,403","12,339","11,619","10,900"
10/24/2019,"30,843","66,733","16,030","12,206","11,619","10,950"
10/23/2019,"30,690","65,504","15,993","12,180","11,569","11,000"
10/22/2019,"30,614","65,581","16,105","12,153","11,569","11,000"
10/21/2019,"30,078","64,660","15,844","12,047","11,520","10,950"
10/18/2019,"30,690","65,274","16,105","12,233","11,865","10,800"
10/17/2019,"31,226","65,427","16,329","12,339","12,012","10,900"
10/16/2019,"31,494","66,119","16,329","12,392","12,012","11,050"
10/15/2019,"31,685","65,427","16,179","12,419","12,012","11,050"
10/14/2019,"31,494","65,274","16,179","12,472","12,062","11,100"
10/11/2019,"31,226","65,504","15,769","12,100","11,815","11,000"
10/10/2019,"31,379","64,967","15,769","12,100","11,815","10,800"
10/9/2019,"31,570","64,890","15,881","12,180","11,668","10,900"
10/8/2019,"31,456","65,351","15,471","12,073","11,471","11,000"
10/7/2019,"30,920","63,584","15,322","11,914","11,422","10,500"
10/4/2019,"30,996","63,738","15,359","12,047","11,619","10,400"
10/3/2019,"31,570","62,970","15,657","12,206","11,619","10,500"
10/2/2019,"30,767","62,970","15,657","12,233","11,619","10,400"
10/1/2019,"30,614","64,045","15,881","12,259","11,668","10,500"
9/30/2019,"30,155","63,047","15,769","12,126","11,520","10,550"
9/27/2019,"30,805","63,661","15,769","12,073","11,422","10,650"
9/26/2019,"30,729","62,202","15,769","12,020","11,471","10,700"
9/25/2019,"30,537","61,972","15,508","11,781","11,323","10,600"
9/24/2019,"30,193","61,895","15,471","11,781","11,422","10,500"
9/23/2019,"30,346","60,666","15,657","11,727","11,471","10,550"
9/20/2019,"30,614","62,202","15,732","11,727","11,422","10,350"
9/19/2019,"31,226","62,586","15,844","11,701","11,372","10,550"
9/18/2019,"31,494","61,895","15,508","11,621","11,028","10,200"
9/17/2019,"31,379","62,279","15,471","11,474","10,979","10,200"
9/16/2019,"30,614","62,202","15,471","11,524","11,028","10,350"
9/13/2019,"30,499","62,893","15,546","11,474","11,126","10,350"
9/12/2019,"29,581","61,050","15,024","11,376","10,929","10,150"
9/11/2019,"29,236","60,052","14,763","11,154","10,732","10,050"
9/10/2019,"29,313","59,668","14,725","11,105","10,683","10,050"
9/9/2019,"29,160","59,284","14,875","11,130","10,782","10,100"
9/6/2019,"29,083","59,361","14,837","11,130","10,782","10,150"
9/5/2019,"29,466","59,591","14,875","11,130","10,831","10,150"
9/4/2019,"29,542","59,361","14,912","11,327","10,831","10,150"
9/3/2019,"29,619","59,745","14,875","11,228","10,880","10,200"
8/30/2019,"29,657","59,668","15,061","11,376","10,929","10,400"
8/29/2019,"29,007","58,977","15,061","11,499","10,880","10,350"
8/28/2019,"28,777","59,130","15,098","11,499","10,929","10,350"
8/27/2019,"28,700","58,746","15,136","11,474","11,077","10,450"
8/26/2019,"28,968","59,745","15,136","11,474","11,077","10,550"
8/23/2019,"28,739","60,820","15,285","11,154","11,126","10,700"
8/22/2019,"28,777","61,434","15,359","11,105","11,175","10,300"
8/21/2019,"28,968","61,434","15,471","11,080","10,979","10,250"
8/20/2019,"28,165","59,054","15,359","10,908","10,929","10,300"
8/19/2019,"28,088","58,977","15,285","10,859","10,831","10,250"
8/16/2019,"27,552","59,822","15,285","11,031","10,782","10,300"
8/15/2019,"26,864","60,666","15,210","10,982","10,683","10,350"
8/14/2019,"26,864","58,593","15,285","10,982","10,683","10,150"
8/13/2019,"26,711","58,593","15,359","10,933","10,782","10,200"
8/12/2019,"27,055","59,668","15,173","10,785","10,831","10,350"
8/9/2019,"26,557","60,282","15,285","10,563","10,782","10,350"
8/8/2019,"26,557","60,282","15,247","10,637","10,831","10,450"
8/7/2019,"26,557","60,206","15,061","10,489","10,634","10,400"
8/6/2019,"26,940","58,593","15,061","10,514","10,683","10,450"
8/5/2019,"27,399","59,438","15,173","10,736","10,831","10,450"
8/2/2019,"27,399","60,743","15,173","10,810","10,979","10,600"
8/1/2019,"27,131","61,818","15,210","10,834","11,077","10,500"
7/31/2019,"27,170","61,588","15,471","10,933","11,225","10,700"
7/30/2019,"26,787","61,895","15,434","10,760","11,274","10,850"
7/29/2019,"27,399","62,202","15,583","11,056","11,323","10,950"
7/26/2019,"27,399","60,282","15,807","11,007","11,520","11,150"
7/25/2019,"26,940","59,668","15,844","11,031","11,668","11,200"
7/24/2019,"26,366","59,054","15,844","11,130","11,626","11,350"
7/23/2019,"26,978","60,590","16,142","11,179","11,664","11,500"
7/22/2019,"27,361","60,666","16,105","10,933","11,740","11,500"
7/19/2019,"26,711","60,666","16,291","10,933","11,815","11,700"
7/18/2019,"26,557","58,670","16,142","10,933","11,664","11,550"
7/17/2019,"26,443","58,516","16,329","10,883","11,626","11,550"
7/16/2019,"26,443","59,284","16,179","10,711","11,437","11,400"
7/15/2019,"25,486","57,595","16,030","10,563","11,361","11,350"
7/12/2019,"25,563","56,596","15,993","10,514","11,399","11,400"
7/11/2019,"25,601","56,827","16,068","10,539","11,437","11,500"
7/10/2019,"24,797","55,675","15,657","10,391","11,210","11,450"
7/9/2019,"24,950","55,214","15,620","10,440","11,285","11,350"
7/8/2019,"24,912","54,753","15,583","10,391","10,982","11,400"
7/5/2019,"25,103","55,752","15,769","10,489","11,058","11,400"
7/4/2019,"25,103","55,675","15,769","10,416","11,058","11,450"
7/3/2019,"24,568","53,448","15,695","10,342","10,907","11,350"
7/2/2019,"24,529","54,139","15,508","10,416","10,944","11,450"
7/1/2019,"24,759","54,753","15,546","10,416","11,058","11,550"
6/28/2019,"24,261","54,139","14,539","10,292","10,944","11,350"
6/27/2019,"24,491","53,371","15,397","10,145","10,831","11,300"
6/26/2019,"24,874","54,139","15,583","10,268","10,982","11,500"
6/25/2019,"24,568","55,598","15,695","10,391","11,058","11,650"
6/24/2019,"24,950","56,059","15,956","10,489","11,172","11,700"
6/21/2019,"24,874","54,523","15,956","10,489","11,172","11,450"
6/20/2019,"24,989","54,907","15,657","10,489","11,210","11,500"
6/19/2019,"24,491","53,601","15,098","10,169","10,944","11,300"
6/18/2019,"24,491","53,985","15,098","10,145","10,944","11,200"
6/17/2019,"24,568","53,141","15,247","10,194","10,869","11,450"
6/14/2019,"24,606","53,141","15,136","10,194","10,869","11,650"
6/13/2019,"24,108","51,682","15,024","10,145","10,831","11,600"
6/12/2019,"24,108","51,451","15,098","10,145","10,793","11,650"
6/11/2019,"24,414","51,758","15,285","10,194","10,831","11,700"
6/10/2019,"24,261","51,221","15,285","10,145","10,831","11,800"
6/7/2019,"24,261","50,376","15,247","10,120","10,869","11,750"
6/6/2019,"23,955","50,606","15,136","9,948","10,793","11,550"
6/5/2019,"24,032","51,221","14,986","9,972","10,944","11,650"
6/4/2019,"24,491","51,605","14,912","10,022","10,831","11,600"
6/3/2019,"23,420","51,067","14,837","10,022","10,869","11,600"
5/31/2019,"24,108","51,605","15,136","10,268","10,982","11,750"
5/30/2019,"24,338","51,989","15,397","10,416","11,020","11,800"
5/29/2019,"24,491","51,835","15,397","10,440","11,058","11,750"
5/28/2019,"24,721","51,758","15,657","10,514","10,944","11,800"
5/27/2019,"24,950","51,758","15,807","10,489","10,982","11,800"
5/24/2019,"24,874","51,067","15,807","10,514","11,058","11,800"
5/23/2019,"25,563","51,912","16,030","10,662","11,172","12,000"
5/22/2019,"25,409","51,605","16,068","10,613","11,210","12,050"
5/21/2019,"25,295","51,989","15,844","10,489","11,134","12,050"
5/20/2019,"25,027","52,066","15,918","10,416","11,096","11,950"
5/17/2019,"24,606","51,298","15,807","10,440","11,058","11,950"
5/16/2019,"24,950","51,298","15,732","10,489","11,096","12,000"
5/15/2019,"25,180","51,298","15,769","10,563","11,172","12,050"
5/14/2019,"24,797","51,144","15,322","10,489","11,020","11,900"
5/13/2019,"25,027","50,606","15,247","10,465","11,058","11,950"
5/10/2019,"24,491","50,376","15,136","10,292","11,096","12,000"
5/9/2019,"23,802","50,299","14,986","10,342","11,020","11,900"
5/8/2019,"24,759","49,992","15,247","10,489","11,172","12,150"
5/7/2019,"25,333","50,376","15,210","10,563","11,172","12,100"
5/6/2019,"25,333","50,914","15,247","10,588","11,134","12,050"
5/3/2019,"26,175","51,221","15,583","10,883","11,361","12,350"
5/2/2019,"26,404","51,374","15,657","10,785","11,247","11,900"
4/26/2019,"26,634","52,142","15,844","10,736","11,399","11,950"
4/25/2019,"26,404","51,989","15,695","10,588","11,361","11,850"
4/24/2019,"26,481","52,603","15,956","10,588","11,399","12,050"
4/23/2019,"26,175","51,835","15,546","10,489","11,210","12,050"
4/22/2019,"26,175","52,142","15,285","10,539","11,096","11,550"
4/19/2019,"26,672","52,219","15,508","10,637","11,210","11,750"
4/18/2019,"26,634","52,142","15,657","10,613","11,247","11,750"
4/17/2019,"26,634","52,219","15,993","10,588","11,323","11,900"
4/16/2019,"27,170","51,758","16,068","10,588","11,361","12,050"
4/12/2019,"26,596","52,219","16,291","10,785","11,437","12,100"
4/11/2019,"26,902","52,603","16,366","10,834","11,475","12,050"
4/10/2019,"26,940","52,910","16,329","10,810","11,437","12,100"
4/9/2019,"27,361","53,601","16,515","10,957","11,550","12,250"
4/8/2019,"27,170","53,525","16,627","11,007","11,664","12,250"
4/5/2019,"26,825","52,296","16,329","10,908","11,437","12,250"
