Date,CMG,FPT,VGI,ELC,TTN
12/31/2019,"17,480","22,000","24,700","4,901","7,900"
12/30/2019,"16,897","21,792","25,000","4,835","7,700"
12/27/2019,"17,116","21,583","25,000","4,835","8,200"
12/26/2019,"17,043","21,635","25,200","4,835","8,200"
12/25/2019,"17,116","21,896","24,600","4,671","8,100"
12/24/2019,"16,679","22,157","24,700","4,917","7,800"
12/23/2019,"17,152","21,922","25,000","4,794","7,500"
12/20/2019,"16,970","21,948","25,200","4,761","7,800"
12/19/2019,"16,679","21,896","25,200","4,753","7,900"
12/18/2019,"17,625","22,417","25,000","4,753","7,800"
12/17/2019,"18,062","23,017","25,700","4,810","8,000"
12/16/2019,"18,099","23,251","25,900","4,802","8,000"
12/13/2019,"17,771","23,173","26,500","4,786","8,100"
12/12/2019,"18,645","22,965","26,800","4,589","8,100"
12/11/2019,"18,062","23,043","26,300","4,507","8,000"
12/10/2019,"16,897","23,512","24,100","4,663","8,000"
12/9/2019,"15,805","23,147","24,800","4,663","7,800"
12/6/2019,"14,931","23,251","25,100","4,663","7,900"
12/5/2019,"14,639","23,434","25,000","4,548","8,000"
12/4/2019,"14,566","23,408","25,300","4,556","8,300"
12/3/2019,"14,202","22,365","24,400","4,540","8,400"
12/2/2019,"14,348","22,365","25,500","4,524","8,500"
11/29/2019,"14,129","22,313","26,900","4,638","8,700"
11/28/2019,"14,202","22,287","26,500","4,622","8,700"
11/27/2019,"13,984","22,130","26,900","4,655","8,900"
11/26/2019,"13,984","22,443","28,000","4,655","9,000"
11/25/2019,"14,166","22,626","28,000","4,515","9,200"
11/22/2019,"14,239","22,626","28,500","4,737","9,000"
11/21/2019,"13,984","22,626","29,400","4,712","9,000"
11/20/2019,"13,984","22,495","29,900","4,712","9,000"
11/19/2019,"13,984","22,287","29,800","4,671","8,900"
11/18/2019,"13,765","22,000","29,200","4,671","9,000"
11/15/2019,"13,802","22,026","30,000","4,753","9,000"
11/14/2019,"13,947","21,713","30,400","4,753","9,100"
11/13/2019,"14,129","21,870","31,400","4,769","9,300"
11/12/2019,"13,838","21,505","31,500","4,769","9,400"
11/11/2019,"14,275","21,974","31,500","4,761","9,300"
11/8/2019,"14,166","21,818","31,700","4,753","9,200"
11/7/2019,"14,202","21,974","31,800","4,753","9,400"
11/6/2019,"14,494","22,183","31,700","4,753","9,300"
11/5/2019,"14,494","22,365","31,700","4,753","9,500"
11/4/2019,"14,566","21,844","31,400","4,753","9,600"
11/1/2019,"14,785","21,870","32,100","4,753","9,600"
10/31/2019,"14,676","21,375","32,100","4,835","9,600"
10/30/2019,"14,676","21,375","31,900","4,835","9,900"
10/29/2019,"14,749","21,270","31,700","4,835","9,800"
10/28/2019,"14,494","21,401","32,100","4,868","10,100"
10/25/2019,"14,202","21,792","32,400","4,876","10,100"
10/24/2019,"14,931","22,000","32,700","4,917","10,200"
10/23/2019,"15,149","22,495","31,900","4,917","10,200"
10/22/2019,"14,931","22,417","31,600","4,917","10,100"
10/21/2019,"14,566","22,730","31,500","4,958","9,700"
10/18/2019,"14,858","22,730","31,900","4,958","9,600"
10/17/2019,"14,785","22,548","32,300","4,966","9,600"
10/16/2019,"14,785","22,417","32,600","4,966","9,600"
10/15/2019,"14,931","22,834","32,500","4,958","9,500"
10/14/2019,"14,566","22,261","33,400","4,958","10,000"
10/11/2019,"15,659","23,616","33,300","4,909","10,000"
10/10/2019,"15,659","23,303","33,400","4,917","10,000"
10/9/2019,"16,242","23,460","33,600","4,679","9,400"
10/8/2019,"16,679","23,773","32,300","4,671","9,800"
10/7/2019,"16,751","23,903","32,300","4,671","9,600"
10/4/2019,"16,751","23,721","32,800","4,794","9,600"
10/3/2019,"16,861","23,616","32,000","4,835","9,800"
10/2/2019,"17,334","23,981","32,400","4,843","10,000"
10/1/2019,"17,480","24,138","33,000","5,081","10,300"
9/30/2019,"17,334","24,085","33,100","5,122","10,300"
9/27/2019,"17,043","24,007","31,100","5,122","10,400"
9/26/2019,"17,043","23,929","31,000","5,122","10,018"
9/25/2019,"16,751","24,033","31,000","5,122","10,400"
9/24/2019,"16,751","23,929","30,500","5,122","10,305"
9/23/2019,"16,970","23,929","30,900","5,310","10,495"
9/20/2019,"17,188","23,694","31,600","5,163","10,400"
9/19/2019,"17,771","23,356","31,800","5,163","10,972"
9/18/2019,"17,698","22,991","31,800","5,245","10,972"
9/17/2019,"16,780","23,225","31,200","5,204","10,591"
9/16/2019,"16,318","22,626","31,500","5,269","9,900"
9/13/2019,"16,186","22,443","31,400","5,286","10,100"
9/12/2019,"16,483","22,495","32,000","5,318","10,200"
9/11/2019,"16,318","22,183","31,900","5,245","9,000"
9/10/2019,"16,318","22,417","28,200","5,310","9,400"
9/9/2019,"16,087","22,078","30,300","5,310","9,500"
9/6/2019,"16,120","22,574","32,300","5,163","10,700"
9/5/2019,"16,120","22,991","33,000","5,245","10,700"
9/4/2019,"16,516","23,043","33,600","5,245","10,600"
9/3/2019,"16,516","23,017","34,300","5,327","11,600"
8/30/2019,"16,912","23,043","35,900","5,392","12,400"
8/29/2019,"17,177","23,043","36,100","5,409","11,900"
8/28/2019,"17,045","23,147","36,700","5,245","12,100"
8/27/2019,"17,011","23,173","37,300","5,310","12,800"
8/26/2019,"16,912","23,147","37,300","5,286","12,700"
8/23/2019,"16,153","22,965","37,700","5,327","13,400"
8/22/2019,"15,327","22,782","37,600","5,327","13,700"
8/21/2019,"14,897","22,782","36,200","5,327","13,800"
8/20/2019,"14,798","22,678","37,100","5,327","14,100"
8/19/2019,"14,798","22,417","36,900","5,327","13,600"
8/16/2019,"14,963","22,313","36,900","5,327","13,800"
8/15/2019,"15,129","22,568","37,000","5,327","13,600"
8/14/2019,"15,195","22,135","34,300","5,327","13,400"
8/13/2019,"14,600","21,956","33,700","5,327","13,300"
8/12/2019,"14,204","21,804","35,100","5,343","13,600"
8/9/2019,"13,708","21,651","35,100","5,343","14,100"
8/8/2019,"13,741","21,371","35,600","5,343","14,400"
8/7/2019,"13,609","21,523","34,800","5,343","15,200"
8/6/2019,"13,807","21,702","36,500","5,409","14,900"
8/5/2019,"13,543","21,753","36,500","5,327","14,200"
8/2/2019,"13,543","21,396","33,100","5,400","13,400"
8/1/2019,"14,006","21,804","30,400","5,409","13,000"
7/31/2019,"13,411","22,058","29,900","5,286","12,400"
7/30/2019,"13,675","22,058","30,200","5,409","13,000"
7/29/2019,"13,675","21,676","31,400","5,491","13,900"
7/26/2019,"13,741","21,600","31,100","5,646","14,200"
7/25/2019,"13,741","21,498","30,800","5,704","14,500"
7/24/2019,"13,873","21,396","30,700","5,614","14,600"
7/23/2019,"14,072","21,192","29,400","5,614","14,200"
7/22/2019,"14,336","21,651","29,500","5,614","14,800"
7/19/2019,"14,534","21,854","28,400","5,614","13,900"
7/18/2019,"13,675","21,345","30,600","5,663","13,600"
7/17/2019,"13,081","20,836","29,300","5,663","13,700"
7/16/2019,"12,949","20,683","29,300","5,736","13,800"
7/15/2019,"12,849","19,766","29,500","5,736","14,300"
7/12/2019,"12,949","19,970","27,800","5,736","13,900"
7/11/2019,"13,015","20,581","27,800","5,777","13,300"
7/10/2019,"12,882","20,454","28,200","5,654","12,700"
7/9/2019,"12,816","20,785","27,800","5,736","13,200"
7/8/2019,"12,354","20,122","27,000","5,695","12,500"
7/5/2019,"12,486","20,377","27,400","5,573","12,200"
7/4/2019,"13,147","19,868","27,300","5,597","12,700"
7/3/2019,"13,741","20,479","26,500","5,589","12,500"
7/2/2019,"14,072","21,141","27,000","5,573","12,800"
7/1/2019,"14,006","21,651","26,900","5,556","13,100"
6/28/2019,"14,204","22,568","27,200","5,548","11,800"
6/27/2019,"14,138","22,670","27,900","5,564","11,800"
6/26/2019,"13,543","22,975","28,300","5,704","11,900"
6/25/2019,"14,204","22,924","27,900","5,654","12,000"
6/24/2019,"13,345","22,619","27,900","5,736","12,500"
6/21/2019,"13,873","23,128","28,000","5,573","12,300"
6/20/2019,"13,807","22,670","28,000","5,573","12,000"
6/19/2019,"13,873","23,128","28,500","5,851","11,900"
6/18/2019,"14,204","23,688","28,700","5,868","11,800"
6/17/2019,"14,732","23,739","28,200","5,941","12,300"
6/14/2019,"14,732","23,841","27,400","5,745","11,400"
6/13/2019,"14,006","23,587","27,400","5,589","11,800"
6/12/2019,"14,798","24,198","27,200","5,564","12,300"
6/11/2019,"15,195","24,427","27,900","5,573","12,500"
6/10/2019,"15,162","24,351","27,800","5,654","11,800"
6/7/2019,"15,294","24,707","28,100","5,704","12,500"
6/6/2019,"14,303","24,351","27,000","5,704","13,100"
6/5/2019,"14,336","24,070","26,600","5,695","11,800"
6/4/2019,"13,807","23,663","26,700","5,761","10,800"
6/3/2019,"13,807","23,434","26,600","5,507","9,400"
5/31/2019,"13,873","23,154","26,200","5,581","9,700"
5/30/2019,"14,072","24,147","27,200","5,581","9,600"
5/29/2019,"13,180","23,179","27,800","5,654","9,300"
5/28/2019,"14,138","24,911","29,200","5,433","9,700"
5/27/2019,"15,195","25,693","28,000","5,409","8,700"
5/24/2019,"15,195","26,168","26,900","5,409","8,400"
5/23/2019,"15,855","25,779","26,500","5,359","8,500"
5/22/2019,"16,186","26,341","26,300","5,409","8,300"
5/21/2019,"16,384","26,254","26,500","5,425","8,300"
5/20/2019,"16,450","26,168","25,300","5,491","8,200"
5/16/2019,"16,813","26,125","25,200","5,646","8,500"
5/15/2019,"16,615","26,513","25,200","5,654","8,500"
5/14/2019,"16,483","26,600","25,700","5,491","8,100"
5/13/2019,"16,318","25,693","25,700","5,450","8,000"
5/10/2019,"16,516","25,175","25,200","5,368","7,800"
5/9/2019,"16,417","25,218","24,000","5,458","7,900"
5/8/2019,"16,186","25,477","24,100","5,450","7,500"
5/7/2019,"16,318","25,736","24,100","5,499","7,900"
5/6/2019,"15,855","25,391","22,600","5,818","8,000"
5/3/2019,"15,921","25,045","21,900","5,736","8,100"
5/2/2019,"17,111","24,613","22,500","5,499","8,200"
4/26/2019,"18,366","24,613","22,800","5,450","8,200"
4/25/2019,"18,168","23,750","23,400","5,368","8,200"
4/24/2019,"18,366","24,354","23,300","5,409","9,500"
4/23/2019,"18,432","25,045","22,200","5,409","9,000"
4/22/2019,"18,300","26,470","21,700","5,392","9,800"
4/19/2019,"18,498","26,211","22,100","5,261","11,500"
4/18/2019,"18,366","26,772","22,500","5,654","10,700"
