Date,VGI,SLS,SCS,VGC,FRT,HPG,VIC,RAL,HDB,IMP
12/31/2024,"91,700","184,400","80,000","44,950","185,600","26,650","70,000","121,800","25,500","47,000"
12/30/2024,"92,000","184,300","83,900","45,150","185,000","26,750","70,100","120,400","26,650","47,250"
12/27/2024,"90,100","182,900","85,000","44,700","183,800","26,850","70,400","120,000","24,950","47,700"
12/26/2024,"93,700","184,100","80,300","44,500","183,800","27,000","70,500","120,200","24,150","48,450"
12/25/2024,"94,800","183,400","81,800","45,250","183,500","27,150","70,700","118,000","23,900","47,500"
12/24/2024,"95,000","182,000","81,500","44,900","182,600","26,700","70,200","117,500","23,400","48,500"
12/23/2024,"95,300","182,200","76,700","44,200","183,700","27,000","70,300","119,700","23,400","48,750"
12/20/2024,"95,900","182,000","79,700","43,700","184,000","26,700","70,300","120,100","23,400","48,300"
12/19/2024,"94,100","183,400","79,200","43,400","184,200","26,850","70,400","119,800","23,500","47,700"
12/18/2024,"90,900","184,500","80,200","43,950","185,900","27,350","71,400","120,500","23,800","48,000"
12/17/2024,"90,800","184,000","80,500","43,950","185,600","27,000","71,000","120,700","23,800","48,000"
12/16/2024,"90,300","182,300","80,700","44,600","186,000","27,000","71,100","120,900","23,750","47,550"
12/13/2024,"89,600","184,000","79,900","43,900","181,900","27,200","71,100","121,200","23,700","48,650"
12/12/2024,"89,700","184,100","79,400","44,500","182,500","27,500","72,100","123,800","23,900","49,500"
12/11/2024,"92,200","185,400","80,100","43,900","181,500","27,750","72,700","124,000","23,600","48,000"
12/10/2024,"92,500","183,000","79,900","43,600","181,900","27,900","72,700","124,500","23,333","48,150"
12/9/2024,"92,000","183,000","79,700","43,500","181,900","27,650","73,200","125,400","22,500","47,050"
12/6/2024,"90,400","182,100","79,600","43,500","181,500","27,600","73,400","124,600","22,375","46,400"
12/5/2024,"88,200","180,500","80,200","43,950","181,000","27,850","73,700","124,800","22,250","48,200"
12/4/2024,"91,700","180,400","79,600","42,600","179,000","26,700","72,100","121,100","21,583","48,000"
12/3/2024,"91,300","179,800","80,200","42,800","179,600","27,000","72,700","121,500","26,050","48,650"
12/2/2024,"93,100","179,400","77,500","43,000","179,800","26,900","72,600","117,800","25,400","45,500"
11/29/2024,"91,000","179,100","78,000","42,200","178,500","26,750","73,200","118,300","25,350","44,850"
11/28/2024,"88,000","177,800","77,500","41,450","176,900","26,400","72,400","120,800","25,300","44,850"
11/27/2024,"84,400","177,600","77,500","41,550","173,600","26,300","72,700","120,800","25,150","43,200"
11/26/2024,"82,000","177,700","78,000","41,900","173,100","26,350","72,700","122,600","25,050","43,700"
11/25/2024,"82,600","177,400","77,800","41,150","173,500","26,300","72,200","123,000","24,700","44,000"
11/22/2024,"82,900","177,900","77,500","41,150","173,200","26,100","71,000","122,600","24,700","41,350"
11/21/2024,"82,300","175,200","77,800","41,200","169,900","25,850","71,300","122,600","24,800","41,400"
11/20/2024,"77,800","175,200","77,000","40,900","165,000","25,600","70,300","120,500","24,650","41,800"
11/19/2024,"79,800","175,500","75,200","40,050","163,000","25,450","70,000","123,000","24,650","41,800"
11/18/2024,"84,900","175,100","77,100","42,600","166,000","25,800","70,300","125,000","24,550","41,800"
11/15/2024,"85,100","175,200","76,200","43,800","166,000","25,900","70,600","125,700","24,700","42,300"
11/14/2024,"81,800","176,900","80,000","43,300","166,000","26,300","71,400","125,800","25,250","42,800"
11/13/2024,"86,000","177,100","80,000","43,300","167,100","27,050","73,000","126,700","25,650","42,800"
11/12/2024,"87,300","177,100","81,500","42,800","169,000","27,500","72,500","126,100","25,800","43,250"
11/11/2024,"83,300","178,300","80,500","43,350","169,000","27,700","73,500","126,600","25,550","43,900"
11/8/2024,"82,800","179,700","81,400","42,600","170,000","27,000","72,300","126,600","26,250","44,000"
11/7/2024,"78,400","180,000","81,300","42,350","170,000","26,950","73,300","126,900","26,250","44,600"
11/6/2024,"72,800","179,100","78,800","42,800","172,500","26,950","74,200","127,000","26,400","44,250"
11/5/2024,"72,700","178,000","78,800","40,000","170,900","26,500","73,100","127,000","26,050","44,300"
11/4/2024,"70,900","177,000","78,300","39,700","170,900","26,300","73,200","127,100","26,050","44,300"
11/1/2024,"69,300","177,500","77,900","40,400","169,900","26,550","74,500","129,000","26,550","45,000"
10/31/2024,"71,500","177,200","75,200","40,800","173,800","26,900","76,600","129,700","26,900","45,000"
10/30/2024,"72,300","177,000","74,300","40,900","171,200","27,000","78,100","129,100","27,200","45,200"
10/29/2024,"73,400","176,000","73,300","41,000","171,900","27,050","78,000","130,000","27,300","44,400"
10/28/2024,"69,000","176,000","74,400","40,450","169,000","26,750","77,900","130,000","26,650","44,700"
10/25/2024,"66,400","176,000","75,000","40,500","168,500","26,450","77,200","131,000","26,900","44,750"
10/24/2024,"65,200","175,100","77,300","40,500","170,800","26,450","78,500","131,000","26,900","45,000"
10/23/2024,"65,300","175,100","78,000","41,150","172,000","26,450","79,400","131,600","26,950","43,300"
10/22/2024,"65,000","175,600","77,500","40,900","174,000","26,650","78,900","130,900","27,000","42,600"
10/21/2024,"66,200","179,000","77,300","41,600","175,900","26,750","80,200","132,000","26,950","44,450"
10/18/2024,"67,100","183,700","76,400","42,750","177,300","26,950","80,400","132,700","27,000","46,850"
10/17/2024,"67,500","183,000","76,800","42,750","178,000","27,250","81,000","133,600","26,600","47,000"
10/16/2024,"66,900","183,200","76,400","42,850","178,000","27,100","80,400","134,400","27,050","46,900"
10/15/2024,"66,800","184,000","77,600","42,750","179,000","27,150","80,800","134,300","27,150","46,800"
10/14/2024,"69,300","184,100","77,100","43,400","179,900","27,050","80,300","136,000","27,000","47,100"
10/11/2024,"67,500","185,000","76,400","44,050","180,000","27,300","81,100","136,100","27,350","48,000"
10/10/2024,"66,400","187,600","76,000","44,000","179,500","27,250","80,000","136,200","27,450","48,000"
10/9/2024,"66,200","186,000","75,800","43,700","177,100","27,500","77,000","133,500","27,000","47,100"
10/8/2024,"63,600","189,800","76,000","42,750","177,000","26,950","75,200","132,800","27,200","47,750"
10/7/2024,"64,000","189,167","75,700","43,000","176,900","26,400","74,800","133,000","26,850","48,200"
10/4/2024,"64,700","186,362","75,200","43,350","177,000","26,200","75,600","132,000","27,300","49,000"
10/3/2024,"64,000","186,181","75,600","43,350","176,000","26,200","76,000","132,000","27,650","49,900"
10/2/2024,"64,700","185,458","77,800","43,500","177,000","26,300","76,000","132,000","27,550","50,700"
10/1/2024,"65,600","184,553","78,700","44,150","177,100","26,750","76,600","133,000","28,000","50,100"
9/30/2024,"64,300","184,553","79,000","43,600","178,000","26,350","75,700","133,300","28,200","50,000"
9/27/2024,"65,000","186,272","79,000","43,900","178,000","26,050","75,900","134,600","28,300","50,300"
9/26/2024,"66,000","184,643","79,000","43,950","179,000","26,050","76,100","135,000","28,300","50,200"
9/25/2024,"66,500","182,744","79,800","44,200","178,600","26,200","75,500","134,800","27,250","50,300"
9/24/2024,"67,000","183,196","80,200","44,200","178,900","25,850","74,800","134,600","27,000","51,800"
9/23/2024,"65,500","186,362","80,400","43,250","178,900","25,700","74,400","135,100","27,000","51,800"
9/20/2024,"66,500","187,086","80,800","43,250","178,900","25,650","74,700","136,100","27,050","51,300"
9/19/2024,"67,900","187,176","81,700","43,700","180,500","25,250","74,400","136,700","26,850","52,400"
9/18/2024,"67,500","187,176","81,800","42,200","179,800","25,100","74,400","138,000","26,700","53,200"
9/17/2024,"61,800","185,458","80,800","42,450","177,200","25,250","74,500","137,500","26,600","49,750"
9/16/2024,"60,900","184,010","80,600","42,000","177,000","24,850","72,900","137,600","26,200","46,500"
9/13/2024,"62,100","189,529","81,600","42,050","179,000","25,000","74,200","138,200","26,400","47,000"
9/12/2024,"62,500","188,624","81,100","41,350","178,900","25,100","75,100","138,600","26,200","47,000"
9/11/2024,"61,800","185,458","79,400","41,600","180,500","25,350","75,100","139,300","26,350","46,550"
9/10/2024,"62,200","182,110","80,200","41,000","181,000","25,150","75,200","140,200","26,300","46,500"
9/9/2024,"62,700","180,934","81,000","41,950","182,000","26,500","75,400","140,500","26,400","96,200"
9/6/2024,"63,500","181,839","81,600","42,650","182,400","25,040","76,000","142,000","26,750","97,000"
9/5/2024,"64,000","181,839","82,100","42,500","182,500","25,130","74,100","141,200","27,000","91,300"
9/4/2024,"65,900","184,553","82,400","43,150","182,500","25,250","75,300","143,300","27,100","93,900"
8/30/2024,"67,600","185,819","82,900","44,150","181,700","25,900","77,200","142,000","27,700","87,800"
8/29/2024,"67,600","186,272","82,800","44,550","180,000","25,600","76,900","142,300","27,350","85,600"
8/28/2024,"68,000","184,281","82,300","44,900","179,200","25,700","77,100","142,800","27,100","84,400"
8/27/2024,"66,300","183,558","82,800","44,700","179,200","25,750","76,800","142,900","27,100","84,800"
8/26/2024,"67,400","176,863","82,300","44,550","182,900","26,000","76,200","141,500","27,100","84,500"
8/23/2024,"68,400","176,863","82,900","44,400","185,800","26,050","77,900","144,300","27,100","85,400"
